Rating,Number of Reviews,Installs,Size,Year,Month,Day,Minimum Version,Latest Version,Content Rating: Everyone,Content Rating: Teen,Content Rating: Everyone 10+,Content Rating: Mature 17+,Costs Money
4.682817936,190162,1000000,69000000.0,2018,7,5,4.2,1.1,1,0,0,0,1
4.594532013,65983,1000000,43000000.0,2018,6,19,4.1,3.7,1,0,0,0,1
4.614479542,700116,10000000,7700000.0,2018,6,26,1.5,1.0,1,0,0,0,0
4.415373802,1418,10000,24000000.0,2018,12,28,4.1,1.3,1,0,0,0,1
4.42274332,17746,1000000,34000000.0,2019,3,30,4.1,1.1,1,0,0,0,0
4.19139576,1139,10000,46000000.0,2015,3,9,2.3,1.0,1,0,0,0,1
4.871240616,204024,1000000,22000000.0,2019,2,11,4.0,1.0,1,0,0,0,1
4.434647083,27558,500000,22455984.2626,2019,3,17,4.4,4.05466738559,1,0,0,0,1
4.511237621,8734704,100000000,99000000.0,2019,2,26,4.0,4.1,0,0,1,0,0
3.651995897,977,10000,11000000.0,2014,3,24,3.0,1.1,1,0,0,0,1
4.120536804,5069,50000,74000000.0,2019,2,8,4.1,1.5,1,0,0,0,1
4.661193371,22777,100000,28000000.0,2019,3,27,4.2,7.7,1,0,0,0,1
3.925389767,5388,100000,39000000.0,2016,12,2,3.0,1.1,1,0,0,0,1
4.55373764,55008,500000,42000000.0,2019,3,20,4.1,5.0,1,0,0,0,1
4.053004742,8037,500000,34000000.0,2017,8,10,2.3,2.3,1,0,0,0,0
3.966051817,54318,5000000,43000000.0,2018,3,12,2.3,2.1,1,0,0,0,0
4.125556946,3815,100000,22455984.2626,2015,1,20,3.0,4.05466738559,1,0,0,0,1
3.966203928,1657,50000,43000000.0,2015,1,27,2.2,1.0,1,0,0,0,1
4.163450718,2643,10000,22455984.2626,2017,1,23,4.05466738559,4.05466738559,1,0,0,0,1
4.57678175,5978,50000,72000000.0,2019,2,12,4.1,4.2,1,0,0,0,1
4.517815113,79708,1000000,49000000.0,2016,2,26,2.2,1.0,0,1,0,0,1
4.192248821,1961,10000,9900000.0,2015,1,17,2.3,2.0,1,0,0,0,1
4.46914196,5583575,100000000,53000000.0,2018,2,27,4.1,2.5,1,0,0,0,0
4.365459442,488514,50000000,22455984.2626,2019,3,19,4.1,1.2,1,0,0,0,0
4.351351261,37,5000,862000.0,2014,12,3,4.0,1.1,1,0,0,0,1
5,2,50,19000000.0,2019,3,16,4.4,1.0,1,0,0,0,1
4.055751324,1704,50000,42000000.0,2014,8,7,4.0,1.1,0,0,0,1,1
4.676002979,1321,10000,22455984.2626,2019,3,4,4.05466738559,4.05466738559,1,0,0,0,1
4.125,8,1000,2100000.0,2016,12,31,4.0,2.0,1,0,0,0,1
4.111111164,90,5000,48000000.0,2013,11,5,3.0,1.0,1,0,0,0,1
4.666666508,6,10,1600000.0,2019,3,3,4.2,1.0,1,0,0,0,1
4.557347775,558,5000,26000000.0,2019,2,21,5.0,6.9,1,0,0,0,1
4.608695507,138,10000,2900000.0,2018,4,6,4.1,3.0,1,0,0,0,1
4.471115112,6474,500000,37000000.0,2019,3,26,5.0,3.2,1,0,0,0,0
4.545454502,22,5000,23000000.0,2018,12,28,4.4,2.2,1,0,0,0,1
4.442857265,70,10000,26000000.0,2018,10,29,4.0,2.4,1,0,0,0,1
4.449760914,209,10000,6600000.0,2019,3,11,4.4,3.0,1,0,0,0,1
3.122448921,49,5000,23000000.0,2018,11,5,5.0,2.2,1,0,0,0,1
3,2,10,79000000.0,2019,2,13,4.1,1.0,1,0,0,0,1
4.599999905,100,1000,35000000.0,2019,2,21,4.0,19.0,1,0,0,0,1
4.536585331,164,10000,375000.0,2015,8,3,1.6,3.4,1,0,0,0,1
4.372549057,102,5000,9700000.0,2019,4,1,5.0,5.3,1,0,0,0,0
4.145377636,1417,100000,19000000.0,2019,2,17,5.1,3.0,1,0,0,0,1
4,12,1000,378000.0,2015,5,26,3.0,1.0,1,0,0,0,1
3.775701046,214,10000,27000000.0,2019,3,22,4.0,2.0,1,0,0,0,1
